ID,Source spreadsheet row,Source agency,Display name,Agency type,State,City used,Latitude,Longitude,Location method,Confidence,Census place,Coordinate source,Included in map
1,9,(F) Alhambra Police Department (CA),Alhambra Police Department,Police,California,Alhambra,34.083571,-118.136444,Agency-name city match,High,Alhambra city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
2,10,(F) Anderson Police Department (CA),Anderson Police Department,Police,California,Anderson,40.449755,-122.29507,Agency-name city match,High,Anderson city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
3,11,(F) Arroyo Grande Police Department-CA,Arroyo Grande Police Department,Police,California,Arroyo Grande,35.124149,-120.584533,Agency-name city match,High,Arroyo Grande city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
4,12,(F) Bakersfield Police Department,Bakersfield Police Department,Police,California,Bakersfield,35.353171,-119.037919,Agency-name city match,High,Bakersfield city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
5,13,(F) Brea Police Department,Brea Police Department,Police,California,Brea,33.925178,-117.865111,Agency-name city match,High,Brea city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
6,14,(F) Brentwood Police Department CA,Brentwood Police Department,Police,California,Brentwood,37.935578,-121.71897,Agency-name city match,High,Brentwood city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
7,15,(F) CA Parole Apprehension Team (CA),CA Parole Apprehension Team,State,California,Sacramento,38.567694,-121.468161,Manual headquarters/office city,Medium,Sacramento city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
8,16,(F) California Department of Fish And Wildlife (CA),California Department of Fish And Wildlife,State,California,Sacramento,38.567694,-121.468161,Manual headquarters/office city,Medium,Sacramento city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
9,17,(F) California Department Of Insurance (CA),California Department Of Insurance,State,California,Sacramento,38.567694,-121.468161,Manual headquarters/office city,Medium,Sacramento city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
10,18,(F) California Department of Motor Vehicles (CA),California Department of Motor Vehicles,Other,California,Sacramento,38.567694,-121.468161,Manual headquarters/office city,Medium,Sacramento city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
11,19,(F) Camp Pendleton Provost Marshall Office,Camp Pendleton Provost Marshall Office,Federal,California,Camp Pendleton Mainside,33.307209,-117.331048,Manual headquarters/office city,Medium,Camp Pendleton Mainside CDP,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
12,20,(F) Camp Verde Marshals Office (AZ),Camp Verde Marshals Office,Other,Arizona,Camp Verde,34.569405,-111.857014,Manual headquarters/office city,Medium,Camp Verde town,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
13,21,(F) Carlsbad Police Department,Carlsbad Police Department,Police,California,Carlsbad,33.129284,-117.284183,Agency-name city match,High,Carlsbad city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
14,22,(F) CDTFA Tax Investigations and Inspections Bureau (CA),CDTFA Tax Investigations and Inspections Bureau,Other,California,Sacramento,38.567694,-121.468161,Manual headquarters/office city,Medium,Sacramento city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
15,23,(F) Ceres Police Department (CA),Ceres Police Department,Police,California,Ceres,37.598786,-120.968081,Agency-name city match,High,Ceres city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
16,24,(F) Churchill County Sheriffs Office (NV),Churchill County Sheriffs Office,Sheriff,Nevada,Fallon,39.473663,-118.777865,County seat / headquarters city,High,Fallon city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
17,25,(F) Coalinga Police Department (CA),Coalinga Police Department,Police,California,Coalinga,36.133014,-120.339005,Agency-name city match,High,Coalinga city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
18,26,(F) Colton Police Department,Colton Police Department,Police,California,Colton,34.054525,-117.325029,Agency-name city match,High,Colton city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
19,27,(F) Concord Police Department (CA),Concord Police Department,Police,California,Concord,37.972184,-122.001587,Agency-name city match,High,Concord city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
20,28,(F) Davis Police Department (CA),Davis Police Department,Police,California,Davis,38.556147,-121.737793,Agency-name city match,High,Davis city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
21,29,(F) Department Of Cannabis Control California (CA),Department Of Cannabis Control California,Other,California,Sacramento,38.567694,-121.468161,Manual headquarters/office city,Medium,Sacramento city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
22,30,(F) Department of Interior (DOI) US Park Police,Department of Interior (DOI) US Park Police,Federal,California,San Francisco,37.727239,-123.032229,Manual headquarters/office city,Medium,San Francisco city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
23,31,(F) Escondido Police Department,Escondido Police Department,Police,California,Escondido,33.133053,-117.074043,Agency-name city match,High,Escondido city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
24,32,(F) Folsom Police Department,Folsom Police Department,Police,California,Folsom,38.666597,-121.141635,Agency-name city match,High,Folsom city,https://www.census.gov/geographies/reference-files/time-series/geo/gazetteer-files.html,Yes
